iter	Passed	Remaining
0	6	186047
1	10	154342
2	14	144715
3	19	144301
4	23	139351
5	26	132840
6	30	130899
7	34	130384
8	38	127667
9	41	125466
10	45	124507
11	49	123567
12	53	122597
13	56	121670
14	60	120638
15	64	120795
16	69	121827
17	73	122684
18	78	123728
19	83	125069
20	88	126282
21	92	125511
22	97	126506
23	101	126259
24	104	124853
25	107	123911
26	111	123303
27	114	122956
28	118	122471
29	121	121871
30	125	121276
31	129	121097
32	132	120651
33	136	120050
34	139	119837
35	143	119455
36	147	119408
37	151	119131
38	154	118836
39	158	118715
40	162	118672
41	165	118227
42	169	118062
43	173	117887
44	176	117644
45	180	117653
46	184	117574
47	188	117477
48	191	117262
49	196	117449
50	199	117430
51	203	117357
52	207	117331
53	211	117553
54	215	117258
55	218	117090
56	222	116989
57	226	117084
58	230	116999
59	234	116804
60	237	116684
61	241	116594
62	245	116707
63	248	116441
64	252	116326
65	256	116199
66	260	116191
67	263	116049
68	267	115921
69	271	115935
70	274	115827
71	278	115586
72	281	115513
73	285	115429
74	288	115208
75	292	115299
76	296	115233
77	299	115069
78	303	114990
79	307	114986
80	311	115070
81	315	115058
82	318	114853
83	322	114717
84	325	114624
85	328	114105
86	331	114088
87	335	113951
88	339	114012
89	343	114031
90	346	113899
91	350	113870
92	353	113768
93	357	113800
94	361	113641
95	364	113607
96	368	113674
97	372	113618
98	376	113581
99	379	113581
100	383	113630
101	387	113586
102	391	113642
103	395	113629
104	399	113676
105	402	113634
106	406	113704
107	410	113683
108	414	113609
109	417	113546
110	421	113486
111	425	113442
112	428	113407
113	432	113331
114	435	113180
115	439	113132
116	442	113127
117	446	113063
118	449	112950
119	453	112933
120	457	112923
121	461	112938
122	464	112883
123	468	112823
124	471	112807
125	475	112822
126	479	112785
127	482	112658
128	486	112634
129	490	112678
130	493	112605
131	497	112581
132	501	112540
133	504	112513
134	508	112565
135	512	112543
136	515	112456
137	519	112406
138	523	112464
139	526	112369
140	530	112304
141	533	112275
142	537	112302
143	541	112328
144	545	112353
145	550	112626
146	555	112859
147	559	112876
148	563	112868
149	567	112915
150	571	113015
151	575	113055
152	579	113047
153	583	113069
154	587	113210
155	591	113231
156	595	113270
157	600	113330
158	604	113478
159	609	113578
160	613	113670
161	617	113754
162	622	113917
163	626	113954
164	630	114038
165	634	114116
166	639	114183
167	643	114253
168	647	114230
169	651	114304
170	655	114275
171	658	114207
172	662	114231
173	667	114353
174	671	114400
175	675	114409
176	679	114433
177	683	114482
178	687	114484
179	690	114471
180	694	114475
181	698	114515
182	703	114560
183	706	114512
184	710	114503
185	714	114512
186	719	114648
187	723	114762
188	727	114807
189	732	114856
190	736	114967
191	740	114942
192	744	114963
193	748	115041
194	752	115076
195	756	115079
196	760	115057
197	764	115034
198	768	115075
199	772	115106
200	776	115046
201	779	114979
202	783	115072
203	787	115087
204	791	115092
205	795	115039
206	799	115061
207	803	115097
208	807	115068
209	810	115015
210	814	115010
211	818	114978
212	821	114947
213	825	114904
214	829	114855
215	833	114861
216	836	114852
217	840	114798
218	843	114750
219	847	114705
220	851	114690
221	854	114640
222	858	114586
223	861	114571
224	865	114555
225	869	114572
226	873	114540
227	876	114510
228	880	114499
229	884	114491
230	888	114483
