iter	Passed	Remaining
0	6	181354
1	11	170907
2	15	155279
3	19	149307
4	24	144150
5	27	139964
6	31	136351
7	35	134511
8	40	133355
9	44	132472
10	48	130924
11	52	130158
12	56	130047
13	60	129397
14	65	130116
15	69	129720
16	73	129319
17	77	129033
18	81	128765
19	85	128507
20	89	128206
21	93	127578
22	97	127578
23	101	127097
24	106	127226
25	110	126856
26	114	126996
27	118	126785
28	122	126278
29	126	126613
30	130	126448
31	134	126076
32	138	125804
33	142	125436
34	146	125399
35	150	125204
36	154	125056
37	158	124967
38	162	124767
39	166	124829
40	170	124670
41	174	124465
42	178	124462
43	182	124145
44	186	124087
45	190	123871
46	194	124060
47	198	123959
48	202	123926
49	206	123990
50	210	123788
51	216	124565
52	222	125443
53	228	126515
54	232	126422
55	236	126458
56	241	126631
57	244	126465
58	249	126375
59	253	126329
60	257	126190
61	260	126015
62	264	125905
63	269	125837
64	273	125886
65	277	125738
66	281	125553
67	284	125358
68	288	125302
69	292	125140
70	297	125291
71	301	125349
72	305	125228
73	309	125205
74	313	125078
75	317	125004
76	321	124986
77	325	124716
78	329	124778
79	333	124725
80	337	124730
81	341	124611
82	345	124543
83	349	124492
84	353	124449
85	357	124465
86	361	124363
87	365	124213
88	369	124174
89	373	124115
90	377	124018
91	381	124026
92	385	123983
93	389	123872
94	393	123774
95	397	123769
96	401	123652
97	405	123719
98	409	123786
99	413	123723
100	417	123653
101	421	123588
102	425	123540
103	429	123441
104	433	123372
105	437	123324
106	441	123281
107	445	123232
108	449	123186
109	453	123210
110	457	123177
111	461	123125
112	465	123116
113	469	123027
114	473	123018
115	477	122910
116	480	122824
117	484	122787
118	488	122675
119	492	122639
120	496	122691
121	501	122752
122	505	122708
123	509	122679
124	513	122733
125	517	122607
126	521	122567
127	524	122463
128	529	122552
129	533	122509
130	537	122480
131	541	122509
132	545	122506
133	549	122486
134	553	122418
135	557	122445
136	561	122485
137	565	122454
138	570	122463
139	574	122491
140	578	122449
141	582	122429
142	586	122389
143	590	122373
144	594	122357
145	598	122345
146	602	122403
147	606	122384
148	610	122367
149	614	122313
150	618	122300
151	622	122300
152	626	122303
153	631	122293
154	635	122295
155	639	122264
156	642	122210
157	646	122167
158	651	122184
159	654	122103
160	658	122097
161	662	122067
162	666	122089
163	671	122096
164	675	122087
165	679	122073
166	683	122082
167	687	122026
168	691	122054
169	695	122029
170	700	122120
171	704	122122
172	708	122101
173	712	122108
174	716	122103
175	720	122089
176	724	122050
177	728	121986
178	732	121981
179	735	121913
180	740	121953
181	744	121983
182	748	121970
183	752	121981
184	756	121942
185	760	121932
186	764	121917
187	768	121897
188	772	121843
189	776	121817
190	780	121792
191	784	121773
192	788	121774
193	792	121789
194	796	121758
195	800	121756
196	804	121723
197	808	121756
198	813	121782
199	817	121763
200	821	121790
201	825	121760
202	829	121762
203	833	121737
204	837	121738
205	841	121754
206	845	121720
207	849	121705
