iter	Passed	Remaining
0	7	37848
1	13	34609
2	18	30923
3	24	30980
4	30	30479
5	36	30577
6	42	30258
7	48	30117
8	54	30124
9	60	30060
10	66	29973
11	71	29924
12	77	29700
13	83	29731
14	89	29648
15	95	29604
16	101	29640
17	106	29552
18	112	29468
19	118	29500
20	123	29385
21	129	29317
22	135	29297
23	141	29261
24	146	29244
25	152	29172
26	158	29104
27	163	29087
28	169	29024
29	174	28986
30	180	28935
31	186	28918
32	191	28869
33	197	28814
34	203	28867
35	209	28835
36	214	28830
37	220	28841
38	226	28810
39	232	28805
40	237	28779
41	243	28728
42	249	28709
43	254	28702
44	260	28720
45	266	28723
46	272	28700
47	278	28697
48	283	28694
49	289	28688
50	295	28708
51	301	28708
52	307	28658
53	312	28658
54	318	28621
55	323	28593
56	329	28578
57	335	28562
58	340	28537
59	346	28569
60	352	28570
61	358	28549
62	364	28557
63	370	28557
64	375	28538
65	381	28530
66	387	28515
67	393	28517
68	399	28538
69	404	28521
70	410	28498
71	416	28532
72	422	28533
73	428	28542
74	434	28537
75	440	28534
76	446	28537
77	451	28515
78	457	28496
79	463	28478
80	468	28450
81	473	28422
82	479	28426
83	485	28402
84	490	28379
85	497	28408
86	503	28405
87	509	28411
88	515	28446
89	521	28434
90	527	28447
91	533	28441
92	538	28438
93	544	28437
94	550	28426
95	556	28435
96	563	28484
97	569	28508
98	575	28513
99	582	28528
100	587	28517
101	594	28525
102	600	28527
103	610	28758
104	618	28817
105	625	28859
106	632	28915
107	639	28947
108	646	29011
109	653	29063
110	661	29120
111	668	29158
112	674	29186
113	681	29215
114	688	29259
115	695	29297
116	702	29333
117	709	29354
118	715	29330
119	720	29303
120	726	29305
121	732	29286
122	737	29260
123	743	29249
124	749	29225
125	755	29219
126	761	29219
127	767	29209
128	774	29226
129	780	29223
130	786	29220
131	793	29252
132	799	29252
133	805	29243
134	811	29240
135	817	29251
136	824	29276
137	831	29278
138	837	29284
139	844	29303
140	850	29310
141	856	29308
142	862	29308
143	869	29307
144	875	29310
145	881	29306
146	887	29312
147	894	29322
148	899	29299
149	906	29295
150	911	29285
151	918	29281
152	924	29279
153	929	29262
154	936	29270
155	942	29259
156	948	29250
157	954	29241
158	960	29234
159	965	29215
160	972	29238
161	978	29234
162	985	29241
163	992	29254
164	998	29255
165	1004	29264
166	1011	29260
167	1016	29249
