iter	Passed	Remaining
0	3	33948
1	7	32879
2	10	31578
3	13	31250
4	16	29584
5	19	28576
6	21	28176
7	24	28095
8	27	27949
9	30	27772
10	33	27712
11	37	27807
12	40	27811
13	43	27998
14	46	28141
15	49	28046
16	53	28040
17	56	28072
18	59	28052
19	62	28007
20	65	27950
21	68	27832
22	71	27807
23	74	27765
24	77	27812
25	80	27805
26	83	27758
27	86	27796
28	90	27842
29	93	27809
30	95	27763
31	98	27675
32	101	27701
33	104	27644
34	107	27622
35	110	27575
36	114	27669
37	116	27588
38	119	27562
39	122	27539
40	125	27487
41	129	27516
42	132	27497
43	135	27547
44	138	27510
45	141	27481
46	144	27442
47	147	27432
48	150	27444
49	153	27434
50	156	27443
51	159	27395
52	162	27413
53	165	27387
54	168	27391
55	171	27397
56	174	27404
57	177	27365
58	180	27344
59	183	27412
60	186	27353
61	189	27363
62	192	27325
63	195	27340
64	198	27319
65	201	27319
66	204	27319
67	207	27255
68	210	27280
69	213	27260
70	216	27275
71	219	27258
72	222	27238
73	225	27237
74	229	27259
75	232	27255
76	235	27261
77	238	27267
78	241	27257
79	244	27297
80	247	27290
81	251	27316
82	253	27284
83	257	27316
84	260	27288
85	263	27266
86	265	27247
87	268	27231
88	271	27217
89	274	27186
90	277	27172
91	280	27196
92	284	27223
93	287	27198
94	290	27215
95	293	27207
96	296	27191
97	299	27235
98	302	27214
99	306	27245
100	309	27236
101	312	27254
102	315	27227
103	318	27231
104	321	27219
105	324	27245
106	327	27227
107	330	27251
108	334	27254
109	337	27241
110	340	27239
111	343	27227
112	346	27228
113	349	27217
114	352	27240
115	355	27225
116	358	27217
117	361	27200
118	364	27194
119	367	27211
120	370	27188
121	373	27178
122	376	27159
123	379	27140
124	382	27132
125	385	27135
126	388	27143
127	391	27133
128	394	27141
129	397	27140
130	401	27175
131	404	27167
132	407	27170
133	410	27184
134	414	27213
135	417	27211
136	420	27211
137	423	27199
138	426	27208
139	429	27195
140	432	27200
141	435	27197
142	439	27201
143	442	27185
144	444	27168
145	447	27154
146	450	27138
147	453	27127
148	456	27126
149	459	27132
150	463	27137
151	466	27138
152	469	27131
153	472	27113
154	475	27115
155	477	27095
156	481	27108
157	484	27113
158	487	27102
159	490	27102
160	493	27108
161	497	27122
162	500	27116
163	503	27112
164	506	27095
165	509	27098
166	512	27093
167	515	27090
168	518	27072
169	521	27080
170	524	27068
171	527	27071
172	530	27072
173	533	27064
174	536	27070
175	540	27078
176	543	27101
177	546	27109
178	550	27115
179	553	27105
180	556	27106
181	559	27105
182	562	27105
183	565	27110
184	569	27117
185	572	27133
186	575	27141
187	578	27136
188	582	27138
189	585	27142
190	588	27136
191	591	27131
192	594	27123
193	597	27125
194	600	27127
195	604	27160
196	607	27143
197	610	27140
198	613	27136
199	617	27162
200	620	27164
201	623	27174
202	627	27173
203	630	27177
204	633	27168
205	636	27169
206	639	27167
207	642	27159
208	645	27161
209	648	27146
210	651	27138
211	654	27118
212	657	27123
213	660	27111
214	663	27109
215	666	27110
216	669	27101
217	672	27102
218	675	27099
219	679	27104
220	682	27097
221	685	27095
222	688	27084
223	691	27078
224	694	27085
225	697	27076
226	700	27068
227	703	27064
228	706	27051
229	709	27043
230	712	27038
231	715	27022
232	718	27017
233	720	27003
234	723	26997
235	726	26992
236	729	26985
237	732	26984
238	735	26970
239	738	26959
240	741	26951
241	744	26941
242	747	26940
243	750	26936
244	754	26952
245	757	26938
246	760	26945
247	763	26943
248	767	26970
249	770	26966
250	773	26969
251	776	26962
252	779	26960
253	782	26949
254	786	26956
255	789	26951
256	792	26946
257	795	26944
258	798	26941
259	801	26943
260	804	26939
261	807	26945
262	810	26929
263	813	26925
264	816	26913
265	819	26914
266	822	26907
267	825	26896
268	828	26888
269	831	26887
270	834	26882
271	837	26881
272	840	26873
273	843	26865
274	846	26861
275	849	26863
276	852	26847
277	855	26844
278	858	26832
279	861	26824
280	864	26817
281	867	26809
282	870	26799
283	873	26800
284	876	26797
285	879	26791
286	882	26787
287	885	26788
288	888	26786
289	891	26778
290	894	26785
291	897	26778
292	901	26779
293	904	26788
294	907	26787
295	911	26788
296	913	26782
297	917	26784
298	920	26779
299	923	26794
300	927	26799
301	930	26809
302	934	26814
303	937	26825
304	940	26825
305	943	26819
306	946	26812
307	950	26811
308	953	26812
309	956	26810
310	959	26804
311	962	26809
312	967	26859
313	971	26874
314	974	26864
315	977	26872
316	980	26868
317	984	26869
318	987	26864
319	990	26866
320	993	26861
321	997	26870
322	1000	26877
323	1003	26880
324	1007	26886
325	1010	26896
326	1014	26898
327	1017	26906
328	1020	26900
329	1023	26899
330	1026	26891
331	1030	26897
332	1033	26896
333	1036	26905
334	1040	26916
335	1044	26926
336	1047	26921
337	1050	26917
338	1053	26914
339	1056	26907
340	1059	26911
341	1062	26901
342	1065	26897
343	1068	26889
344	1071	26892
345	1075	26892
346	1078	26898
347	1081	26893
348	1084	26888
349	1087	26884
350	1090	26880
351	1094	26883
352	1097	26874
353	1100	26877
354	1103	26872
355	1106	26875
356	1109	26869
357	1113	26873
358	1116	26866
359	1119	26870
360	1122	26867
361	1125	26866
362	1129	26863
363	1131	26856
364	1135	26854
365	1138	26852
366	1142	26868
367	1147	26906
368	1151	26927
369	1155	26946
370	1159	26969
371	1162	26973
372	1166	26986
373	1170	27002
374	1173	26999
375	1177	26998
376	1180	26996
377	1183	26989
378	1186	26981
379	1188	26969
380	1192	26972
381	1195	26964
382	1198	26967
383	1201	26966
384	1205	26974
385	1209	26999
386	1213	27009
387	1216	27001
388	1219	26996
389	1222	26991
390	1226	26995
391	1229	26997
392	1232	26998
393	1236	26999
394	1239	26997
395	1242	26995
396	1245	26991
397	1248	26986
398	1251	26979
399	1254	26970
400	1257	26963
401	1260	26958
402	1263	26959
403	1266	26958
404	1270	26953
405	1273	26948
406	1276	26950
407	1279	26943
408	1282	26939
409	1285	26930
410	1288	26934
411	1292	26932
412	1295	26925
413	1298	26920
414	1300	26911
415	1303	26905
416	1306	26898
417	1309	26891
418	1312	26883
419	1315	26876
420	1318	26868
421	1321	26865
422	1324	26863
423	1327	26859
424	1331	26862
425	1334	26863
426	1338	26863
427	1341	26863
428	1344	26862
429	1347	26853
430	1350	26849
431	1353	26849
432	1356	26845
433	1360	26843
434	1363	26839
435	1366	26837
436	1369	26838
437	1372	26834
438	1375	26833
439	1379	26834
440	1382	26834
441	1385	26833
442	1389	26838
443	1392	26840
444	1395	26836
445	1399	26832
446	1402	26827
447	1405	26821
448	1407	26813
449	1411	26809
450	1414	26807
451	1417	26802
452	1420	26796
453	1423	26794
454	1426	26791
455	1429	26783
456	1432	26783
457	1435	26775
458	1438	26775
459	1442	26771
460	1444	26763
461	1447	26759
462	1450	26752
463	1453	26746
464	1456	26739
465	1460	26739
466	1463	26740
467	1466	26737
468	1469	26736
469	1472	26732
470	1475	26727
471	1479	26730
472	1482	26726
473	1485	26722
474	1488	26720
475	1491	26715
476	1495	26713
477	1498	26708
478	1501	26703
479	1504	26698
480	1507	26695
481	1510	26691
482	1513	26688
483	1516	26679
484	1519	26676
485	1522	26673
486	1525	26672
487	1528	26665
488	1531	26658
489	1534	26653
490	1537	26649
491	1540	26646
492	1544	26642
493	1547	26639
494	1550	26634
495	1553	26629
496	1556	26621
497	1559	26617
498	1562	26615
499	1565	26610
500	1568	26608
501	1571	26602
502	1574	26597
503	1577	26591
504	1580	26581
505	1583	26577
506	1586	26572
507	1589	26563
508	1591	26552
509	1594	26549
510	1597	26544
511	1600	26535
512	1603	26530
513	1606	26524
514	1609	26522
515	1612	26519
516	1616	26518
517	1619	26516
518	1622	26514
519	1625	26513
520	1628	26510
521	1631	26505
522	1635	26506
523	1638	26502
524	1641	26504
525	1644	26497
526	1647	26493
527	1650	26487
528	1653	26484
529	1656	26479
530	1659	26474
531	1663	26473
532	1666	26467
533	1669	26463
534	1672	26460
535	1675	26455
536	1678	26448
537	1681	26447
538	1684	26444
539	1687	26439
540	1690	26432
541	1693	26427
542	1696	26422
543	1699	26416
544	1702	26412
545	1705	26411
546	1708	26406
547	1711	26402
548	1714	26391
549	1717	26388
550	1720	26379
551	1723	26373
552	1726	26372
553	1729	26372
554	1732	26366
555	1735	26358
556	1738	26354
557	1741	26346
558	1744	26342
559	1747	26339
560	1750	26333
561	1753	26331
562	1756	26325
563	1759	26318
564	1762	26311
565	1765	26303
566	1767	26294
567	1771	26293
568	1774	26290
569	1777	26284
570	1780	26281
571	1783	26273
572	1786	26267
573	1789	26263
574	1792	26257
575	1794	26251
576	1797	26243
577	1800	26239
578	1803	26237
579	1807	26233
580	1810	26228
581	1812	26220
582	1815	26214
583	1818	26211
584	1821	26204
585	1824	26199
586	1827	26195
587	1830	26187
588	1833	26186
589	1836	26182
590	1839	26180
591	1842	26172
592	1845	26170
593	1848	26162
594	1851	26157
595	1854	26153
596	1857	26146
597	1861	26148
598	1864	26144
599	1867	26145
600	1870	26142
601	1873	26142
602	1876	26134
603	1879	26129
604	1882	26124
605	1885	26122
606	1888	26116
607	1891	26113
608	1894	26109
609	1897	26104
610	1900	26100
611	1904	26096
612	1907	26092
613	1910	26087
614	1912	26079
615	1915	26075
616	1918	26070
617	1922	26072
618	1925	26068
619	1928	26067
620	1931	26064
621	1934	26062
622	1938	26060
623	1940	26053
624	1943	26047
625	1946	26044
626	1950	26046
627	1953	26045
628	1956	26042
629	1963	26086
630	1966	26081
631	1969	26081
632	1973	26080
633	1976	26078
634	1979	26074
635	1982	26067
636	1985	26063
637	1988	26061
638	1991	26059
639	1994	26054
640	1997	26052
641	2000	26047
642	2003	26044
643	2006	26039
644	2009	26036
645	2013	26033
646	2016	26031
647	2019	26025
648	2022	26019
649	2025	26015
650	2027	26007
651	2030	26001
652	2033	25994
653	2036	25987
654	2039	25985
655	2042	25982
656	2045	25977
657	2048	25971
658	2051	25964
659	2054	25960
660	2057	25958
661	2060	25954
662	2063	25950
663	2066	25945
664	2069	25938
665	2072	25934
666	2075	25928
667	2078	25924
668	2081	25918
669	2084	25914
670	2087	25908
671	2090	25905
672	2093	25902
673	2096	25894
674	2099	25889
675	2102	25886
676	2105	25884
677	2108	25879
678	2111	25874
679	2114	25872
680	2117	25866
681	2120	25865
682	2123	25861
683	2127	25860
684	2130	25857
685	2133	25857
686	2136	25851
687	2139	25848
688	2142	25847
689	2145	25843
690	2149	25842
691	2152	25837
