iter	RMSE
0	3.335053703e-16
1	3.078260988e-16
2	2.838272702e-16
3	2.602599996e-16
4	2.38722583e-16
5	2.185648324e-16
6	2.022290852e-16
7	1.858695035e-16
8	1.70560707e-16
9	1.587077372e-16
10	1.468131693e-16
11	1.364570294e-16
12	1.265566023e-16
13	1.171587754e-16
14	1.086775382e-16
15	1.0154244e-16
16	9.501989591e-17
17	8.87512216e-17
18	8.298468563e-17
19	7.852808306e-17
20	7.406408817e-17
21	7.016094184e-17
22	6.65669346e-17
23	6.361768808e-17
24	6.085950195e-17
25	5.837091293e-17
26	5.60057047e-17
27	5.394729443e-17
28	5.216043751e-17
29	5.046214902e-17
30	4.907078653e-17
31	4.791128662e-17
32	4.672910297e-17
33	4.581051886e-17
34	4.503164296e-17
35	4.414064512e-17
36	4.344942258e-17
37	4.280649231e-17
38	4.219222827e-17
39	4.153428881e-17
40	4.09700319e-17
41	4.052403961e-17
42	4.004634076e-17
43	3.960234456e-17
44	3.928161286e-17
45	3.891736903e-17
46	3.85666569e-17
47	3.819210459e-17
48	3.763420785e-17
49	3.737493906e-17
50	3.715572976e-17
51	3.690645888e-17
52	3.667166939e-17
53	3.619604294e-17
54	3.589989274e-17
55	3.53682398e-17
56	3.500459582e-17
57	3.476729963e-17
58	3.431916686e-17
59	3.408126889e-17
60	3.373726369e-17
61	3.338259089e-17
62	3.324810098e-17
63	3.29408755e-17
64	3.248937001e-17
65	3.231645424e-17
66	3.196013246e-17
67	3.169131167e-17
68	3.138686622e-17
69	3.126350502e-17
70	3.117322038e-17
71	3.078168608e-17
72	3.046590747e-17
73	3.034026754e-17
74	3.007779744e-17
75	2.969093307e-17
76	2.947150142e-17
77	2.912747328e-17
78	2.878835496e-17
79	2.871160094e-17
80	2.830483927e-17
81	2.805755603e-17
82	2.783905639e-17
83	2.752453202e-17
84	2.730055855e-17
85	2.690957721e-17
86	2.66759358e-17
87	2.639089678e-17
88	2.613210731e-17
89	2.577347427e-17
90	2.53588748e-17
91	2.516635065e-17
92	2.488511908e-17
93	2.466583175e-17
94	2.456353874e-17
95	2.426090507e-17
96	2.411539647e-17
97	2.366977959e-17
98	2.358796919e-17
99	2.327466643e-17
100	2.307244934e-17
101	2.275598131e-17
102	2.264452995e-17
103	2.24053328e-17
104	2.207602112e-17
105	2.193724492e-17
106	2.166732963e-17
107	2.154780962e-17
108	2.133900625e-17
