iter	Passed	Remaining
0	4	145618
1	9	138736
2	12	128402
3	16	125868
4	20	121025
5	23	117145
6	26	115075
7	30	113941
8	33	112960
9	37	111097
10	40	109675
11	43	108515
12	47	108803
13	50	108991
14	54	109116
15	58	109479
16	62	110098
17	65	109735
18	69	109676
19	72	109330
20	76	108990
21	80	109381
22	83	109071
23	87	108806
24	90	108827
25	94	108772
26	96	107574
27	100	107456
28	103	107115
29	107	107178
30	111	107422
31	114	107375
32	117	107028
33	121	106866
34	124	106800
35	128	106539
36	131	106721
37	135	106790
38	139	106859
39	142	106789
40	146	107097
41	150	107170
42	153	107053
43	157	107157
44	160	107149
45	164	107036
46	168	107142
47	171	107118
48	175	107163
49	179	107385
50	182	107415
51	186	107366
52	190	107363
53	193	107389
54	197	107473
55	201	107489
56	204	107566
57	208	107504
58	211	107422
59	215	107330
60	218	107276
61	222	107214
62	225	107096
63	229	107219
64	232	107148
65	236	107125
66	239	107001
67	243	107019
68	246	107037
69	250	107047
70	253	106875
71	256	106717
72	260	106649
73	264	106763
74	267	106677
75	270	106570
76	274	106514
77	277	106585
78	281	106688
79	285	106594
80	288	106546
81	292	106632
82	296	106732
83	299	106639
84	302	106610
85	306	106558
86	310	106757
87	314	106855
88	317	106810
89	321	106814
90	328	107992
91	334	108810
92	338	108906
93	342	109119
94	346	109065
95	350	109160
96	354	109261
97	359	109540
98	363	109665
99	367	109834
100	371	109872
101	375	110028
102	379	110125
103	383	110171
104	386	110055
105	390	110011
106	393	109907
107	396	109842
108	400	109804
109	403	109690
110	407	109742
111	411	109884
112	415	110005
113	419	110064
114	424	110216
115	428	110267
116	431	110261
117	435	110173
118	438	110089
119	442	110273
120	446	110343
121	450	110355
122	454	110357
123	458	110368
124	461	110314
125	464	110197
126	468	110201
127	472	110223
128	475	110156
129	478	110058
130	482	109959
131	485	109906
132	489	110016
133	493	109899
134	496	109855
135	500	109815
136	503	109750
137	507	109758
138	511	109796
139	514	109738
140	518	109708
141	521	109753
142	525	109641
143	528	109626
144	532	109555
145	535	109504
146	539	109481
147	542	109451
148	545	109376
149	549	109320
150	553	109386
151	557	109400
152	560	109401
153	564	109439
154	568	109415
155	571	109413
156	575	109415
157	579	109449
158	583	109460
159	587	109509
160	590	109525
161	594	109510
162	598	109555
163	602	109603
164	606	109596
165	609	109562
166	613	109528
167	616	109470
168	620	109481
169	623	109441
170	627	109393
171	630	109344
172	634	109337
173	638	109386
174	641	109396
175	645	109444
176	649	109381
177	653	109475
178	656	109448
179	660	109409
180	663	109378
181	668	109446
182	671	109427
183	675	109404
184	678	109376
185	682	109388
186	686	109470
187	689	109383
188	693	109346
189	696	109296
190	700	109259
191	703	109191
192	706	109114
193	709	109034
194	713	109031
195	716	109006
196	720	108985
197	724	108998
198	727	108949
199	731	108929
200	734	108939
201	738	108909
202	741	108871
203	744	108803
204	748	108760
205	752	108792
206	755	108782
207	759	108762
208	762	108719
209	766	108726
210	770	108743
211	773	108733
212	777	108744
213	781	108732
214	784	108696
215	788	108760
216	792	108719
217	795	108650
218	799	108656
219	802	108626
220	806	108627
221	809	108593
222	812	108550
223	816	108571
224	820	108569
225	823	108536
226	827	108503
227	830	108459
228	834	108478
229	837	108395
230	840	108342
231	844	108336
232	848	108343
233	851	108352
234	855	108364
235	859	108364
236	863	108379
237	866	108412
238	870	108389
239	874	108385
240	877	108357
241	881	108360
242	884	108314
243	888	108295
244	891	108311
245	895	108341
246	899	108362
247	903	108349
248	906	108307
249	910	108304
250	914	108341
251	917	108341
252	921	108320
253	924	108320
254	928	108336
255	932	108323
256	935	108297
257	939	108296
258	942	108272
259	946	108227
260	949	108193
261	952	108164
262	956	108129
263	959	108064
264	963	108087
265	966	108062
266	971	108236
267	975	108270
268	980	108352
269	984	108364
270	987	108373
271	991	108396
272	996	108455
273	999	108482
274	1003	108473
275	1006	108447
276	1010	108447
277	1014	108450
278	1017	108429
279	1021	108378
280	1024	108344
281	1028	108354
282	1031	108340
283	1035	108325
284	1038	108265
285	1042	108279
286	1045	108265
287	1049	108259
288	1052	108253
289	1056	108220
290	1060	108227
291	1063	108239
292	1068	108292
293	1071	108308
294	1075	108340
295	1079	108311
296	1082	108286
297	1086	108259
298	1089	108222
299	1092	108192
300	1096	108162
301	1099	108137
302	1103	108110
303	1106	108106
304	1110	108115
305	1113	108091
306	1117	108084
307	1120	108057
308	1124	108075
309	1128	108090
310	1131	108062
311	1135	108037
312	1139	108041
313	1142	108051
314	1146	108028
315	1149	107999
316	1153	107971
317	1157	108012
318	1161	108031
319	1164	107995
320	1167	107954
321	1170	107922
322	1174	107910
323	1177	107884
324	1181	107858
325	1184	107830
326	1187	107798
327	1192	107842
328	1195	107832
329	1199	107822
330	1202	107801
331	1206	107781
332	1209	107764
333	1213	107751
334	1217	107781
335	1221	107816
336	1224	107810
337	1228	107799
338	1231	107788
339	1235	107780
340	1239	107780
341	1242	107789
342	1246	107780
343	1249	107741
344	1253	107709
345	1256	107724
346	1260	107708
347	1263	107698
348	1267	107689
349	1271	107685
350	1274	107677
351	1278	107658
352	1281	107649
353	1285	107624
354	1289	107641
355	1292	107641
356	1296	107651
357	1299	107624
358	1303	107596
359	1307	107611
360	1310	107629
361	1314	107609
362	1317	107582
363	1321	107607
364	1325	107644
365	1329	107666
366	1333	107684
367	1337	107661
368	1341	107686
369	1344	107680
370	1348	107669
371	1351	107645
372	1355	107664
373	1359	107658
374	1362	107640
375	1365	107596
376	1369	107625
377	1373	107642
378	1377	107642
379	1381	107649
380	1384	107665
381	1389	107706
382	1392	107713
383	1396	107709
384	1400	107737
385	1405	107820
386	1410	107933
387	1414	107981
388	1419	108052
389	1423	108094
390	1428	108154
391	1432	108180
392	1436	108230
393	1440	108269
394	1444	108288
395	1448	108262
396	1451	108256
397	1455	108235
398	1458	108231
399	1462	108230
400	1465	108209
401	1469	108220
402	1473	108200
403	1476	108189
404	1480	108174
405	1483	108143
406	1487	108139
407	1490	108132
408	1494	108138
409	1498	108150
410	1502	108160
411	1506	108159
412	1510	108178
413	1513	108190
414	1517	108192
415	1521	108181
416	1524	108174
417	1528	108166
418	1531	108144
419	1535	108136
420	1538	108105
421	1542	108118
422	1545	108090
423	1549	108098
424	1553	108114
425	1557	108127
426	1560	108103
427	1564	108072
428	1568	108100
429	1571	108096
430	1575	108100
431	1579	108074
432	1582	108074
433	1586	108056
434	1589	108058
435	1593	108041
436	1596	108014
437	1600	108005
438	1604	108018
439	1607	108005
440	1611	108000
441	1615	108007
442	1618	108009
443	1622	107986
444	1625	107969
445	1629	107955
446	1632	107931
447	1635	107915
448	1639	107909
449	1643	107900
450	1646	107905
451	1651	107931
452	1654	107929
453	1658	107913
454	1661	107897
455	1665	107905
456	1669	107913
457	1672	107903
458	1676	107877
459	1679	107853
460	1683	107850
461	1686	107821
462	1689	107802
463	1693	107790
464	1697	107790
465	1700	107781
466	1704	107761
467	1707	107747
468	1711	107749
469	1715	107753
470	1718	107760
471	1722	107747
472	1725	107721
473	1729	107717
474	1732	107714
475	1736	107707
476	1740	107695
477	1743	107682
478	1747	107673
479	1750	107669
480	1754	107647
481	1757	107643
482	1761	107639
483	1765	107659
484	1768	107630
485	1772	107619
486	1775	107611
487	1779	107605
488	1782	107589
489	1786	107588
490	1789	107576
491	1793	107579
492	1797	107587
493	1801	107578
494	1804	107569
495	1808	107580
496	1811	107558
497	1815	107556
498	1818	107536
499	1822	107535
500	1826	107520
501	1829	107514
502	1833	107508
503	1836	107496
504	1840	107471
505	1843	107453
506	1847	107463
507	1851	107463
508	1854	107452
509	1858	107455
510	1861	107449
511	1865	107455
512	1869	107452
513	1872	107426
514	1876	107413
515	1880	107430
516	1883	107429
517	1887	107427
518	1890	107402
519	1894	107390
520	1897	107384
521	1901	107374
522	1904	107363
523	1908	107369
524	1912	107375
525	1915	107349
526	1919	107326
527	1922	107315
528	1926	107304
529	1929	107298
530	1933	107288
531	1936	107266
532	1939	107249
533	1943	107246
534	1947	107239
535	1950	107238
536	1954	107228
537	1957	107220
538	1965	107414
539	1968	107416
540	1972	107398
541	1975	107384
542	1979	107383
543	1982	107364
544	1986	107353
545	1989	107329
546	1993	107324
547	1996	107301
548	1999	107287
549	2003	107277
550	2007	107284
551	2011	107290
552	2014	107293
553	2018	107272
554	2021	107266
555	2025	107252
556	2028	107226
557	2031	107214
558	2035	107211
559	2038	107188
560	2042	107184
561	2046	107187
562	2049	107182
563	2053	107166
564	2056	107150
565	2060	107139
566	2063	107129
567	2067	107124
568	2070	107106
569	2074	107099
570	2078	107112
571	2081	107095
572	2085	107089
573	2088	107087
574	2092	107106
575	2096	107088
576	2099	107062
577	2102	107042
578	2106	107025
579	2109	107019
580	2113	107012
581	2116	106996
582	2120	106971
583	2123	106966
584	2127	106963
585	2130	106958
586	2134	106932
587	2137	106935
588	2141	106930
589	2145	106923
590	2148	106911
591	2151	106897
592	2155	106891
593	2159	106887
594	2162	106878
595	2166	106866
596	2169	106860
597	2173	106879
598	2177	106876
599	2181	106869
600	2184	106852
601	2187	106836
602	2191	106835
603	2194	106825
604	2198	106814
605	2202	106816
606	2206	106828
607	2209	106825
608	2213	106817
609	2216	106791
610	2219	106771
611	2223	106764
612	2226	106751
613	2230	106741
614	2233	106717
615	2237	106726
616	2241	106727
617	2244	106721
618	2248	106713
619	2252	106726
620	2256	106749
621	2260	106751
622	2263	106753
623	2267	106745
624	2271	106758
625	2275	106767
626	2278	106751
627	2282	106744
628	2285	106734
629	2290	106772
630	2294	106786
631	2298	106795
632	2302	106813
633	2306	106842
634	2310	106858
635	2314	106871
636	2318	106883
637	2322	106903
638	2326	106919
639	2330	106924
640	2334	106936
641	2339	106962
642	2342	106972
643	2347	106988
644	2350	106977
645	2354	106978
646	2358	106985
647	2362	106994
648	2366	107002
649	2369	107001
650	2373	107009
651	2377	107010
652	2380	107004
653	2384	107009
654	2388	107006
655	2392	107000
656	2395	106988
657	2399	106987
658	2403	106996
659	2407	107002
660	2410	106993
661	2414	106983
662	2418	106995
663	2422	107010
664	2425	107008
665	2429	107014
666	2433	107012
667	2436	107006
668	2440	107001
669	2444	107000
670	2447	106987
671	2451	106993
672	2455	106986
673	2458	106979
674	2462	106963
675	2465	106946
676	2469	106957
677	2473	106952
678	2476	106947
679	2480	106953
680	2484	106963
681	2488	106956
682	2491	106934
683	2494	106915
684	2498	106927
685	2502	106921
686	2505	106904
687	2508	106891
688	2512	106871
689	2515	106860
690	2519	106847
691	2522	106842
692	2526	106832
693	2529	106815
694	2532	106802
695	2536	106799
696	2540	106788
697	2543	106767
698	2547	106771
699	2550	106774
700	2554	106761
701	2558	106762
702	2561	106762
703	2566	106793
704	2570	106794
705	2573	106792
706	2577	106786
707	2580	106777
708	2584	106776
709	2588	106772
710	2591	106752
711	2595	106745
712	2598	106751
713	2602	106760
714	2606	106762
715	2610	106754
716	2614	106767
717	2617	106768
718	2621	106772
719	2625	106772
720	2628	106755
721	2633	106780
722	2637	106784
723	2640	106775
724	2643	106761
725	2647	106761
726	2651	106775
727	2655	106779
728	2659	106765
729	2662	106756
730	2666	106766
731	2670	106756
732	2673	106744
733	2677	106737
734	2681	106751
735	2684	106750
736	2688	106754
737	2692	106746
738	2696	106750
739	2699	106750
740	2703	106738
741	2706	106735
742	2710	106727
743	2714	106732
744	2717	106715
745	2721	106708
746	2724	106709
747	2728	106709
748	2732	106714
749	2735	106703
750	2739	106699
751	2743	106687
752	2747	106699
753	2750	106694
754	2754	106696
755	2758	106697
756	2762	106710
757	2766	106712
758	2769	106713
759	2773	106704
760	2777	106699
761	2780	106702
762	2784	106696
763	2787	106681
764	2791	106675
765	2795	106686
766	2799	106684
767	2803	106696
768	2806	106694
769	2810	106696
770	2814	106695
771	2818	106697
772	2821	106679
773	2825	106674
774	2829	106681
775	2832	106682
776	2836	106667
777	2839	106649
778	2842	106634
779	2847	106657
780	2850	106646
781	2854	106638
782	2857	106617
783	2861	106619
784	2864	106621
785	2868	106619
786	2872	106610
787	2875	106597
788	2879	106607
789	2883	106603
790	2886	106586
791	2889	106570
792	2894	106593
793	2897	106593
794	2901	106584
795	2904	106571
796	2908	106571
797	2912	106582
798	2916	106575
799	2919	106573
800	2923	106561
801	2927	106571
802	2931	106579
803	2935	106587
804	2938	106578
805	2942	106587
806	2946	106602
807	2950	106600
808	2953	106581
809	2962	106774
810	2966	106770
811	2969	106758
812	2974	106772
813	2978	106789
814	2981	106778
815	2985	106776
816	2988	106762
817	2992	106773
818	2996	106779
819	3000	106776
820	3004	106772
821	3008	106773
822	3012	106791
823	3016	106794
824	3019	106788
825	3024	106807
826	3028	106826
827	3032	106823
828	3035	106817
829	3039	106817
830	3043	106820
831	3046	106805
832	3049	106791
833	3053	106787
834	3057	106797
835	3061	106802
836	3065	106793
837	3068	106789
838	3071	106771
839	3076	106808
840	3080	106807
841	3083	106794
842	3087	106792
843	3091	106788
844	3094	106781
845	3098	106773
846	3101	106754
847	3105	106757
848	3109	106760
849	3112	106757
850	3116	106743
851	3119	106731
852	3123	106728
853	3126	106716
854	3131	106743
855	3137	106809
856	3143	106889
857	3147	106910
858	3151	106905
859	3155	106928
860	3159	106921
861	3162	106913
862	3166	106905
863	3169	106895
864	3173	106877
865	3176	106872
866	3180	106860
867	3183	106845
868	3187	106844
869	3190	106841
870	3194	106843
871	3198	106829
872	3201	106826
873	3206	106843
874	3210	106851
875	3213	106844
876	3217	106853
877	3221	106857
878	3225	106854
879	3228	106849
880	3232	106853
881	3236	106849
882	3240	106851
883	3244	106859
884	3248	106879
885	3253	106919
