iter	Passed	Remaining
0	8	164385
1	15	153483
2	19	126848
3	25	126075
4	34	137970
5	40	135676
6	48	137454
7	55	138793
8	61	137201
9	67	135631
10	73	133126
11	78	131029
12	84	129280
13	89	127499
14	94	126163
15	100	125130
16	105	124530
17	111	124205
18	117	123595
19	123	123211
20	128	122488
21	134	121991
22	139	121447
23	145	121072
24	150	120602
25	156	120079
26	162	119873
27	167	119547
28	173	119412
29	179	119222
30	184	118939
31	190	118623
32	195	118377
33	201	118225
34	206	117997
35	212	117782
36	218	117928
37	224	117905
38	229	117711
39	235	117597
40	241	117404
41	246	117197
42	252	117251
43	258	117253
44	264	117253
45	270	117149
46	275	117132
47	281	117184
48	287	117132
49	293	117080
50	299	117102
51	305	117060
52	310	116945
53	316	116916
54	322	116974
55	328	116952
56	334	116907
57	339	116817
58	345	116722
59	350	116631
60	356	116532
61	362	116536
62	367	116453
63	373	116348
64	379	116319
65	384	116217
66	390	116058
67	395	115999
68	401	115942
69	406	115868
70	412	115792
71	418	115697
72	423	115719
73	429	115653
74	434	115539
75	440	115510
76	446	115408
77	451	115253
78	456	115235
79	462	115233
80	468	115200
81	474	115193
82	479	115084
83	485	115065
84	491	115048
85	496	115034
86	502	115001
87	507	114918
88	513	114881
89	519	114925
90	525	114962
91	531	114944
92	537	114969
93	542	114943
94	548	114976
95	554	114933
96	560	114979
97	566	114986
98	571	114973
99	577	114948
100	583	114971
101	589	114948
102	595	114961
103	600	114962
104	606	115008
105	612	114986
106	618	114996
107	624	114999
108	630	114967
109	635	114944
110	641	114975
111	647	115005
112	653	114984
113	659	114969
114	664	114971
115	670	114946
116	676	114919
117	681	114886
118	687	114840
119	692	114801
120	698	114747
121	704	114725
122	709	114661
123	715	114655
124	720	114594
125	726	114606
126	731	114540
127	737	114571
128	743	114577
129	749	114538
130	754	114511
131	760	114421
132	765	114363
133	771	114355
134	777	114355
135	782	114318
136	788	114287
137	793	114217
138	798	114159
139	804	114149
140	810	114132
141	816	114156
142	822	114165
143	828	114190
144	833	114171
145	839	114144
146	845	114173
147	850	114111
148	856	114082
149	862	114121
150	868	114104
151	873	114096
152	879	114069
153	885	114075
154	890	114011
155	896	114015
156	902	114007
157	907	113974
158	913	113989
159	919	113986
160	925	113988
161	931	114022
162	936	114008
163	942	113987
164	948	113964
165	953	113966
166	959	113992
167	965	113981
168	972	114134
169	978	114191
170	985	114277
171	992	114414
172	998	114453
173	1004	114457
174	1010	114443
175	1017	114557
176	1023	114656
177	1030	114763
178	1037	114902
179	1044	115012
180	1050	115009
181	1055	114959
182	1061	114926
183	1066	114905
184	1072	114879
185	1078	114869
186	1084	114852
187	1089	114803
188	1095	114801
189	1101	114801
190	1107	114817
191	1112	114782
192	1118	114760
193	1124	114768
194	1130	114783
195	1135	114743
196	1141	114709
197	1146	114709
198	1152	114671
199	1158	114662
200	1163	114637
201	1169	114626
202	1175	114614
203	1180	114574
204	1186	114542
205	1191	114484
206	1197	114482
207	1203	114471
208	1208	114447
209	1213	114404
210	1219	114375
211	1225	114366
212	1231	114364
213	1236	114369
214	1242	114367
215	1248	114349
216	1254	114328
217	1259	114307
218	1265	114350
219	1271	114330
220	1277	114333
221	1283	114308
222	1288	114292
223	1294	114284
224	1300	114270
225	1305	114255
226	1311	114254
227	1317	114227
228	1322	114220
229	1328	114187
230	1334	114170
231	1340	114182
232	1345	114163
233	1351	114152
234	1357	114148
235	1362	114115
236	1368	114112
237	1374	114110
238	1379	114099
239	1385	114066
240	1391	114071
241	1397	114098
242	1403	114121
243	1409	114115
244	1415	114127
245	1421	114145
246	1427	114151
247	1433	114141
248	1438	114119
249	1444	114116
250	1450	114113
251	1456	114102
252	1461	114088
253	1467	114070
254	1472	114041
255	1478	114002
256	1484	114002
257	1490	114028
258	1495	114020
259	1501	113997
260	1507	114002
261	1513	113994
262	1518	113982
263	1524	113975
264	1530	113979
265	1536	113978
266	1542	113971
267	1548	113987
268	1553	113971
269	1559	113980
270	1565	113971
271	1571	113965
272	1576	113944
273	1582	113951
274	1588	113924
275	1594	113939
276	1600	113925
277	1605	113921
278	1611	113932
279	1617	113924
280	1623	113918
281	1629	113926
282	1634	113911
283	1641	113931
284	1647	113944
285	1653	113942
286	1658	113949
287	1664	113945
288	1670	113921
289	1675	113901
290	1681	113884
291	1687	113896
292	1693	113893
293	1699	113898
294	1705	113905
295	1710	113896
296	1716	113870
297	1722	113869
298	1728	113863
299	1733	113855
300	1739	113854
301	1745	113831
302	1751	113831
303	1756	113815
304	1762	113817
305	1768	113819
306	1774	113810
307	1780	113811
308	1785	113811
309	1791	113813
310	1797	113822
311	1803	113813
