iter	RMSE
0	5.342768175e-16
1	4.932612935e-16
2	4.563314766e-16
3	4.202639829e-16
4	3.869451107e-16
5	3.562464567e-16
6	3.293951146e-16
7	3.025321944e-16
8	2.807916772e-16
9	2.59715058e-16
10	2.415689615e-16
11	2.23386849e-16
12	2.081129194e-16
13	1.930032579e-16
14	1.795737949e-16
15	1.687446087e-16
16	1.578989299e-16
17	1.485128902e-16
18	1.39367705e-16
19	1.321681896e-16
20	1.256110895e-16
21	1.192361753e-16
22	1.137462482e-16
23	1.090214705e-16
24	1.051393412e-16
25	1.019730812e-16
26	9.849577444e-17
27	9.52568601e-17
28	9.214597581e-17
29	8.963004179e-17
30	8.789324293e-17
31	8.581802256e-17
32	8.402316518e-17
33	8.168986503e-17
34	7.981418031e-17
35	7.808196463e-17
36	7.66205148e-17
37	7.553047748e-17
38	7.395342738e-17
39	7.288587658e-17
40	7.181152184e-17
41	7.112722893e-17
42	7.013482323e-17
43	6.905414194e-17
44	6.800883169e-17
45	6.754800897e-17
46	6.677919084e-17
47	6.608390583e-17
48	6.593950378e-17
49	6.509701773e-17
50	6.468484832e-17
51	6.37653115e-17
52	6.319768508e-17
53	6.240209234e-17
54	6.167104491e-17
55	6.113989825e-17
56	6.029562503e-17
57	5.977494813e-17
58	5.90524267e-17
59	5.84995836e-17
60	5.782324515e-17
61	5.729554321e-17
62	5.676047747e-17
63	5.654031331e-17
64	5.610831663e-17
65	5.579110198e-17
66	5.561835502e-17
67	5.538821816e-17
68	5.495706058e-17
69	5.440377174e-17
70	5.428383562e-17
71	5.38705766e-17
72	5.344725181e-17
73	5.283224339e-17
74	5.253599726e-17
75	5.234309235e-17
76	5.193207421e-17
77	5.177361109e-17
78	5.101299693e-17
79	5.080191911e-17
80	5.04040436e-17
81	4.98995682e-17
82	4.972044518e-17
83	4.953738066e-17
84	4.899758204e-17
85	4.864488263e-17
86	4.810055598e-17
87	4.764561308e-17
88	4.727024007e-17
89	4.684107783e-17
90	4.627484618e-17
91	4.606708577e-17
92	4.563388748e-17
93	4.551504042e-17
94	4.493290754e-17
95	4.45575487e-17
