iter	Passed	Remaining
0	0	5875
1	7	36967
2	14	48129
3	16	40296
4	22	45031
5	23	38661
6	28	41355
7	29	36672
8	34	38283
9	35	35204
10	40	36991
11	42	35647
12	43	33518
13	47	33977
14	48	32106
15	54	34045
16	57	33543
17	58	32450
18	59	31407
19	65	32560
20	71	33793
21	71	32466
22	72	31321
23	73	30477
24	78	31429
25	79	30323
26	79	29342
27	82	29441
28	88	30303
29	93	31109
30	94	30259
31	99	31111
32	105	31778
33	110	32384
34	115	32981
35	121	33561
36	123	33169
37	126	33121
38	131	33638
39	136	34109
40	142	34551
41	142	33830
42	148	34316
43	153	34784
44	159	35207
45	159	34531
46	164	34933
47	170	35320
48	170	34673
49	176	35096
50	177	34560
51	182	34882
52	187	35226
53	192	35515
54	198	35802
55	201	35703
56	206	35994
57	211	36245
58	217	36593
59	222	36839
60	227	37124
61	229	36808
62	234	37032
63	240	37261
64	245	37497
65	248	37404
66	249	36929
67	252	36825
68	257	37041
69	262	37253
70	263	36845
71	268	37051
72	274	37296
73	279	37496
74	284	37703
75	286	37447
76	292	37664
77	293	37348
78	298	37531
79	304	37716
80	309	37897
81	314	38097
82	320	38264
83	325	38439
84	331	38610
85	336	38744
86	341	38865
87	346	39046
88	351	39170
89	357	39322
90	362	39430
91	367	39564
92	372	39703
93	378	39870
94	383	39976
95	388	40089
96	394	40227
97	399	40348
98	404	40468
99	410	40604
100	415	40717
101	420	40850
102	426	40955
103	431	41068
104	436	41172
105	438	40952
106	441	40833
107	443	40607
108	448	40709
109	450	40495
110	455	40609
111	459	40530
112	464	40638
113	466	40451
114	468	40262
115	470	40072
116	472	39887
117	474	39701
118	475	39521
119	481	39633
120	486	39733
121	492	39841
122	497	39970
123	503	40090
124	508	40193
125	514	40302
126	516	40120
127	521	40233
128	526	40320
129	528	40146
130	534	40238
131	535	40069
132	541	40164
133	543	39992
134	548	40079
135	553	40159
136	555	39993
137	557	39827
138	562	39904
139	567	39990
140	569	39843
141	575	39937
142	580	40022
143	585	40103
144	591	40193
145	596	40265
146	601	40338
147	607	40406
148	612	40474
149	614	40325
150	619	40404
151	624	40479
152	630	40549
153	631	40401
154	637	40486
155	642	40564
156	644	40420
157	650	40511
158	652	40361
159	657	40443
160	662	40514
161	668	40584
162	673	40659
163	679	40730
164	684	40800
165	689	40875
166	695	40934
167	700	41017
168	702	40879
169	708	40941
170	709	40806
171	715	40877
172	717	40746
173	722	40805
174	728	40876
175	733	40943
176	738	40995
177	743	41053
178	749	41110
179	754	41166
180	760	41231
181	765	41283
182	768	41213
183	771	41145
184	776	41199
185	781	41249
186	787	41304
187	792	41346
188	797	41399
189	802	41444
190	807	41488
191	812	41527
192	818	41573
193	819	41428
194	824	41477
195	830	41525
196	835	41578
197	836	41426
198	842	41503
199	848	41557
200	853	41602
201	858	41650
202	861	41591
203	864	41529
204	870	41585
205	875	41628
206	880	41670
207	886	41711
208	891	41755
209	896	41810
210	902	41852
211	905	41789
212	910	41836
213	916	41891
214	921	41928
215	926	41967
216	931	42009
217	937	42046
218	940	41984
219	945	42024
220	950	42063
221	955	42096
222	960	42125
223	966	42167
224	971	42199
225	976	42251
226	982	42295
227	988	42377
228	994	42434
229	999	42477
230	1003	42432
231	1008	42479
232	1014	42525
233	1020	42574
234	1025	42608
235	1030	42650
236	1036	42690
237	1041	42728
238	1047	42767
239	1052	42802
240	1057	42828
241	1063	42868
242	1068	42901
243	1073	42934
244	1079	42972
245	1084	43002
246	1089	43036
247	1095	43062
248	1100	43088
249	1105	43111
250	1110	43140
251	1116	43169
252	1121	43200
253	1124	43139
254	1129	43167
255	1134	43197
256	1140	43227
257	1143	43171
258	1146	43112
259	1151	43144
260	1157	43176
261	1162	43207
262	1167	43236
263	1173	43259
264	1178	43289
265	1183	43311
266	1188	43334
267	1194	43364
268	1199	43393
269	1204	43419
270	1210	43442
271	1215	43471
272	1220	43496
273	1226	43520
274	1231	43547
275	1237	43582
276	1242	43609
277	1247	43635
278	1253	43665
279	1258	43690
280	1263	43711
281	1269	43732
282	1274	43758
283	1279	43781
284	1284	43798
285	1290	43815
286	1295	43852
287	1301	43891
288	1307	43932
289	1313	43970
290	1316	43924
291	1322	43968
292	1328	44014
293	1334	44062
294	1340	44093
295	1346	44136
296	1351	44158
297	1357	44181
298	1362	44200
299	1367	44214
300	1372	44234
301	1377	44250
302	1383	44268
303	1388	44285
304	1393	44300
305	1398	44314
306	1404	44336
307	1409	44352
308	1409	44219
309	1415	44237
310	1420	44256
311	1425	44273
312	1431	44288
313	1436	44307
314	1441	44323
315	1442	44194
316	1447	44202
317	1452	44224
318	1453	44096
319	1458	44116
320	1463	44129
321	1468	44142
322	1473	44155
323	1479	44174
324	1484	44188
325	1484	44065
326	1490	44082
327	1495	44110
328	1501	44123
329	1501	44001
330	1506	44019
331	1512	44038
332	1517	44055
333	1522	44071
334	1528	44087
335	1533	44103
336	1538	44125
337	1544	44146
338	1549	44158
339	1554	44178
340	1560	44195
341	1560	44078
342	1566	44094
343	1571	44105
344	1576	44119
345	1576	44000
346	1582	44014
347	1587	44026
348	1592	44039
349	1597	44056
350	1603	44076
351	1608	44097
352	1614	44110
353	1619	44122
354	1619	44011
355	1625	44030
356	1630	44041
357	1631	43929
358	1636	43941
359	1641	43954
360	1646	43968
361	1652	43983
362	1657	43996
363	1662	44009
364	1667	44022
365	1672	44034
366	1678	44047
367	1683	44058
368	1688	44076
369	1693	44089
370	1698	44095
371	1704	44114
372	1709	44127
373	1714	44137
374	1720	44148
375	1720	44041
376	1725	44056
377	1731	44069
378	1736	44083
379	1742	44102
380	1747	44114
381	1752	44127
382	1757	44142
383	1763	44151
384	1768	44163
385	1773	44175
386	1778	44187
387	1784	44199
388	1789	44209
389	1794	44221
390	1800	44240
391	1805	44252
392	1810	44262
393	1815	44269
394	1821	44288
395	1826	44297
396	1831	44311
397	1836	44318
398	1842	44332
399	1847	44341
400	1852	44354
401	1858	44361
402	1863	44373
403	1868	44384
404	1873	44395
405	1879	44402
406	1884	44411
407	1889	44421
408	1895	44438
409	1900	44444
410	1905	44453
411	1910	44462
412	1915	44471
413	1920	44478
414	1926	44485
415	1931	44497
416	1936	44506
417	1941	44516
418	1947	44521
419	1952	44528
420	1957	44544
421	1963	44563
422	1964	44471
423	1965	44381
424	1970	44397
425	1975	44405
426	1976	44315
427	1977	44220
428	1982	44226
429	1990	44300
430	1996	44319
431	1997	44239
432	2003	44260
433	2008	44268
434	2013	44275
435	2018	44284
436	2021	44243
437	2024	44204
438	2030	44216
439	2035	44227
440	2041	44240
441	2046	44262
442	2052	44286
443	2058	44309
444	2064	44318
445	2064	44232
446	2070	44241
447	2075	44246
448	2080	44256
449	2085	44267
450	2086	44182
451	2092	44197
452	2097	44207
453	2103	44220
454	2108	44233
455	2113	44238
456	2118	44247
457	2124	44256
458	2125	44175
459	2126	44094
460	2126	44010
461	2132	44017
462	2137	44024
463	2142	44031
464	2147	44041
465	2150	44001
466	2155	44010
467	2159	43979
468	2164	43984
469	2169	43996
470	2175	44005
471	2180	44014
472	2185	44018
473	2190	44024
474	2195	44034
475	2201	44045
476	2206	44054
477	2209	44018
478	2215	44027
479	2220	44034
480	2225	44043
481	2230	44047
482	2235	44049
483	2240	44056
484	2245	44059
485	2251	44066
486	2256	44072
487	2259	44032
488	2264	44040
489	2269	44048
490	2274	44052
491	2280	44063
492	2285	44070
493	2290	44074
494	2295	44080
495	2300	44088
496	2306	44097
497	2311	44104
498	2316	44110
499	2321	44116
500	2327	44125
501	2328	44063
502	2334	44073
503	2339	44081
504	2344	44087
505	2350	44095
506	2355	44104
507	2360	44112
508	2366	44121
509	2371	44125
510	2376	44128
511	2381	44135
512	2387	44145
513	2392	44152
514	2398	44166
515	2403	44175
516	2408	44186
517	2414	44200
518	2419	44207
519	2425	44212
520	2430	44221
521	2435	44226
522	2440	44231
523	2446	44235
524	2451	44244
525	2457	44256
526	2462	44263
527	2467	44270
528	2473	44275
529	2478	44283
530	2483	44292
531	2488	44294
532	2494	44301
533	2499	44306
534	2504	44314
535	2510	44324
536	2515	44327
537	2520	44334
538	2526	44340
539	2531	44349
540	2536	44354
541	2542	44358
542	2547	44368
543	2552	44377
544	2558	44382
545	2563	44390
546	2568	44393
547	2574	44399
548	2579	44409
549	2585	44415
550	2590	44421
551	2595	44429
552	2601	44437
553	2606	44441
554	2611	44442
555	2616	44448
556	2618	44384
557	2623	44391
558	2628	44396
559	2634	44405
560	2639	44417
561	2645	44421
562	2650	44425
563	2655	44429
564	2656	44363
565	2661	44369
566	2667	44374
567	2672	44378
568	2677	44381
569	2682	44384
570	2688	44390
571	2693	44392
572	2698	44397
573	2704	44407
574	2709	44413
575	2714	44416
576	2720	44424
577	2725	44427
578	2731	44437
579	2736	44448
580	2742	44453
581	2747	44459
582	2752	44464
583	2758	44469
584	2763	44475
585	2768	44476
586	2773	44480
587	2779	44487
588	2784	44494
589	2790	44499
590	2795	44502
591	2800	44507
592	2805	44512
593	2811	44517
594	2816	44521
595	2821	44523
596	2827	44529
597	2832	44536
598	2838	44542
599	2843	44543
600	2848	44546
601	2853	44550
602	2858	44552
603	2864	44554
604	2869	44557
605	2874	44563
606	2880	44567
607	2885	44570
608	2890	44573
609	2896	44580
610	2901	44582
611	2906	44585
612	2911	44588
613	2916	44591
614	2922	44593
615	2927	44594
616	2932	44597
617	2937	44598
618	2942	44599
619	2944	44540
620	2949	44544
621	2954	44546
622	2959	44549
623	2961	44491
624	2966	44492
625	2971	44494
626	2976	44499
627	2982	44503
628	2991	44560
629	2998	44593
630	3004	44612
631	3010	44622
632	3016	44638
633	3022	44646
634	3027	44648
635	3032	44651
636	3037	44653
637	3043	44655
638	3048	44659
639	3053	44660
640	3058	44662
641	3064	44663
642	3069	44663
643	3074	44665
644	3079	44666
645	3084	44667
646	3090	44669
647	3095	44668
648	3100	44673
649	3105	44675
650	3110	44676
651	3116	44679
652	3121	44677
653	3126	44676
654	3131	44678
655	3136	44678
656	3141	44678
657	3147	44682
658	3152	44683
659	3157	44687
660	3162	44688
661	3168	44692
662	3173	44695
663	3178	44696
664	3184	44697
665	3189	44700
666	3194	44704
667	3200	44718
668	3206	44720
669	3211	44723
670	3216	44725
671	3222	44729
672	3227	44731
673	3233	44735
674	3239	44746
675	3244	44750
676	3249	44752
677	3255	44759
678	3260	44763
679	3265	44762
680	3271	44763
681	3276	44763
682	3281	44766
683	3286	44767
684	3292	44769
685	3297	44773
686	3303	44779
687	3308	44782
688	3314	44785
689	3319	44790
690	3324	44792
691	3330	44795
692	3335	44794
693	3340	44797
694	3346	44801
695	3351	44803
696	3357	44807
697	3363	44827
698	3369	44839
699	3375	44849
700	3381	44855
701	3386	44859
702	3393	44874
703	3399	44886
704	3404	44887
705	3409	44886
706	3415	44888
707	3420	44891
708	3426	44895
709	3431	44899
710	3436	44902
711	3442	44910
712	3448	44913
713	3454	44921
714	3460	44932
715	3465	44939
716	3471	44945
717	3477	44961
718	3483	44967
719	3489	44973
720	3494	44978
721	3500	44979
722	3505	44984
723	3511	44985
724	3516	44986
725	3522	44991
726	3527	44992
727	3532	44993
728	3538	44996
729	3543	44997
730	3549	45001
731	3554	45003
732	3559	45003
733	3564	45003
734	3570	45005
735	3575	45008
736	3581	45011
737	3586	45011
738	3592	45016
739	3598	45025
740	3604	45034
741	3609	45041
742	3616	45054
743	3622	45065
744	3628	45071
745	3633	45077
746	3640	45090
747	3645	45094
748	3651	45098
749	3656	45101
750	3662	45106
751	3668	45110
752	3674	45120
753	3681	45144
754	3686	45147
755	3692	45147
756	3697	45149
757	3703	45150
758	3709	45162
759	3715	45171
760	3721	45179
761	3727	45188
762	3733	45199
763	3739	45201
764	3744	45203
765	3750	45206
766	3755	45209
767	3761	45214
768	3767	45221
769	3772	45222
770	3778	45224
771	3783	45227
772	3789	45232
773	3795	45239
774	3800	45240
775	3806	45242
776	3811	45247
777	3817	45250
778	3823	45254
779	3828	45257
780	3834	45260
781	3839	45263
782	3845	45263
783	3850	45264
784	3856	45268
785	3861	45268
786	3867	45270
787	3872	45272
788	3878	45275
789	3881	45247
790	3886	45249
791	3888	45209
792	3893	45210
793	3899	45217
794	3905	45220
795	3911	45227
796	3916	45226
797	3922	45227
798	3927	45229
799	3933	45232
800	3938	45232
801	3943	45232
802	3949	45233
803	3954	45234
804	3960	45237
805	3965	45238
806	3971	45237
807	3980	45283
808	3986	45291
809	3991	45291
810	3997	45295
811	4003	45295
812	4008	45296
813	4013	45295
814	4019	45294
815	4024	45293
816	4029	45292
817	4035	45293
818	4040	45293
819	4045	45294
820	4051	45293
821	4056	45294
822	4061	45291
823	4067	45292
824	4072	45290
825	4077	45289
826	4083	45291
827	4088	45292
828	4093	45290
829	4099	45288
830	4104	45287
831	4109	45288
832	4115	45289
833	4120	45291
834	4126	45288
835	4131	45287
836	4136	45287
837	4142	45285
838	4147	45284
839	4152	45284
840	4158	45285
841	4163	45285
842	4168	45283
843	4173	45280
844	4179	45279
845	4184	45276
846	4189	45274
847	4194	45271
848	4200	45270
849	4205	45273
850	4211	45276
851	4216	45276
852	4222	45275
853	4227	45275
854	4233	45277
855	4238	45277
856	4243	45277
857	4249	45276
858	4254	45277
859	4260	45281
860	4266	45282
861	4271	45282
862	4276	45279
863	4282	45279
864	4287	45278
865	4292	45277
866	4298	45276
867	4303	45274
868	4308	45275
869	4314	45276
870	4319	45274
871	4324	45271
872	4330	45271
873	4335	45271
874	4341	45271
875	4346	45269
876	4351	45267
877	4357	45268
878	4362	45266
879	4365	45241
880	4370	45239
881	4375	45237
882	4381	45234
883	4386	45230
884	4391	45229
885	4396	45229
886	4402	45228
887	4407	45229
888	4413	45230
889	4418	45228
890	4424	45228
891	4429	45226
892	4434	45224
893	4439	45222
894	4444	45219
895	4450	45215
896	4455	45212
897	4460	45210
898	4465	45210
899	4471	45208
900	4476	45204
901	4481	45202
902	4486	45200
903	4492	45199
904	4497	45197
905	4502	45195
906	4508	45194
907	4513	45193
908	4518	45190
909	4523	45188
910	4529	45185
911	4534	45182
912	4539	45181
913	4544	45180
914	4550	45177
915	4555	45174
916	4560	45175
917	4566	45173
918	4571	45172
919	4577	45173
920	4582	45177
921	4588	45179
922	4595	45188
923	4600	45190
924	4606	45193
925	4611	45191
926	4617	45192
927	4622	45192
928	4628	45190
929	4633	45190
930	4636	45168
931	4642	45172
932	4648	45171
933	4653	45169
934	4659	45170
935	4664	45169
936	4669	45169
937	4675	45168
938	4680	45167
939	4686	45166
940	4691	45165
941	4697	45168
942	4702	45168
943	4708	45169
944	4714	45171
945	4720	45175
946	4726	45179
947	4731	45176
948	4736	45177
949	4739	45153
950	4745	45153
951	4750	45152
952	4751	45111
953	4757	45111
954	4758	45070
955	4763	45068
956	4769	45064
957	4774	45063
958	4779	45061
959	4785	45058
960	4790	45060
961	4796	45059
962	4801	45057
963	4806	45056
964	4812	45054
965	4817	45054
966	4823	45053
967	4828	45051
968	4834	45054
969	4839	45053
970	4844	45049
971	4850	45048
972	4855	45049
973	4861	45050
974	4866	45050
975	4869	45026
976	4875	45024
977	4880	45022
978	4886	45022
979	4891	45020
980	4896	45019
981	4902	45018
982	4907	45018
983	4913	45016
984	4918	45015
985	4924	45015
986	4930	45019
987	4935	45020
988	4941	45021
989	4947	45022
990	4952	45024
991	4958	45025
992	4963	45024
993	4969	45022
994	4974	45021
995	4986	45081
996	4992	45081
997	4998	45082
998	5003	45081
999	5008	45080
1000	5014	45079
1001	5019	45077
1002	5025	45078
1003	5030	45077
1004	5036	45078
1005	5042	45078
1006	5047	45076
1007	5052	45075
1008	5058	45072
1009	5063	45070
1010	5069	45069
1011	5074	45068
1012	5080	45068
1013	5085	45067
1014	5091	45066
1015	5096	45064
1016	5101	45061
1017	5106	45059
1018	5112	45057
1019	5117	45054
1020	5122	45052
1021	5128	45048
1022	5133	45048
1023	5139	45047
1024	5144	45046
1025	5149	45044
1026	5155	45041
1027	5160	45041
1028	5166	45038
1029	5171	45038
1030	5177	45036
1031	5182	45035
1032	5187	45032
1033	5193	45030
1034	5198	45030
1035	5204	45031
1036	5210	45035
1037	5215	45032
1038	5221	45031
1039	5226	45029
1040	5232	45029
1041	5237	45029
1042	5244	45034
1043	5249	45031
1044	5254	45027
1045	5259	45025
1046	5265	45024
1047	5270	45020
1048	5275	45017
1049	5281	45016
1050	5286	45013
1051	5291	45011
1052	5297	45009
1053	5302	45006
1054	5307	45004
1055	5313	45004
1056	5319	45003
1057	5324	44999
1058	5329	44997
1059	5333	44978
1060	5338	44974
1061	5343	44971
1062	5348	44969
1063	5354	44967
1064	5359	44964
1065	5364	44961
1066	5370	44958
1067	5375	44956
1068	5380	44955
1069	5386	44952
1070	5391	44950
1071	5397	44949
1072	5402	44948
1073	5408	44946
1074	5413	44942
1075	5418	44937
1076	5421	44917
1077	5426	44915
1078	5430	44895
1079	5433	44873
1080	5438	44869
1081	5443	44869
1082	5449	44866
1083	5454	44864
1084	5459	44861
1085	5465	44859
1086	5470	44857
1087	5475	44854
1088	5481	44851
1089	5486	44848
1090	5492	44848
1091	5497	44845
1092	5503	44844
1093	5508	44841
1094	5513	44837
1095	5518	44836
1096	5524	44833
1097	5529	44831
1098	5534	44828
1099	5540	44829
1100	5545	44825
1101	5547	44789
1102	5552	44786
1103	5557	44783
1104	5562	44779
1105	5568	44778
1106	5573	44777
1107	5579	44775
1108	5584	44771
1109	5589	44768
1110	5595	44765
1111	5600	44762
1112	5605	44758
1113	5610	44755
1114	5616	44752
1115	5621	44750
1116	5626	44746
1117	5631	44743
1118	5637	44738
1119	5642	44737
1120	5647	44733
1121	5653	44733
1122	5658	44730
1123	5663	44726
1124	5669	44722
1125	5674	44721
1126	5677	44700
1127	5682	44697
1128	5688	44694
1129	5693	44691
1130	5698	44688
1131	5704	44685
1132	5709	44683
1133	5712	44662
1134	5717	44658
1135	5723	44655
1136	5728	44652
1137	5733	44648
1138	5738	44644
1139	5744	44642
1140	5749	44639
1141	5754	44636
1142	5759	44632
1143	5765	44629
1144	5770	44628
1145	5775	44623
1146	5781	44620
1147	5786	44619
1148	5792	44618
1149	5797	44617
1150	5803	44614
1151	5808	44610
1152	5813	44607
1153	5818	44605
1154	5824	44603
1155	5830	44603
1156	5835	44599
1157	5840	44596
1158	5846	44594
1159	5851	44592
1160	5856	44589
1161	5862	44586
1162	5867	44584
1163	5872	44581
1164	5878	44579
1165	5883	44575
1166	5888	44571
1167	5894	44568
1168	5899	44567
1169	5904	44563
1170	5910	44560
1171	5915	44558
1172	5920	44556
1173	5926	44553
1174	5931	44550
1175	5933	44521
1176	5938	44519
1177	5944	44517
1178	5949	44515
1179	5955	44513
1180	5960	44512
1181	5966	44509
1182	5971	44506
1183	5977	44504
1184	5988	44547
1185	5994	44547
1186	5999	44545
1187	6002	44526
1188	6008	44523
1189	6013	44519
1190	6018	44518
1191	6024	44514
1192	6029	44511
1193	6034	44508
1194	6040	44504
1195	6045	44502
1196	6050	44500
1197	6056	44496
1198	6061	44493
1199	6066	44489
1200	6072	44487
1201	6077	44484
1202	6082	44480
1203	6088	44477
1204	6093	44475
1205	6098	44472
1206	6104	44470
1207	6109	44467
1208	6115	44464
1209	6120	44462
1210	6125	44458
1211	6130	44454
1212	6136	44450
1213	6141	44446
1214	6147	44445
1215	6152	44443
1216	6157	44440
1217	6163	44437
1218	6168	44434
1219	6174	44434
1220	6179	44432
1221	6185	44429
1222	6190	44425
1223	6195	44422
1224	6201	44420
1225	6206	44416
1226	6211	44412
1227	6217	44410
1228	6222	44406
1229	6227	44403
1230	6232	44399
1231	6238	44396
1232	6243	44394
1233	6248	44390
1234	6254	44387
1235	6259	44386
1236	6261	44354
1237	6264	44334
1238	6265	44302
1239	6270	44300
1240	6276	44297
1241	6281	44293
1242	6286	44289
1243	6292	44287
1244	6297	44283
1245	6302	44282
1246	6308	44278
1247	6313	44274
1248	6318	44271
1249	6324	44268
1250	6329	44264
1251	6334	44259
1252	6339	44255
1253	6344	44252
1254	6350	44249
1255	6355	44246
1256	6360	44241
1257	6366	44239
1258	6371	44236
1259	6376	44231
1260	6379	44211
1261	6384	44208
1262	6390	44204
1263	6395	44202
1264	6401	44202
1265	6407	44204
1266	6413	44208
1267	6417	44194
1268	6424	44199
1269	6431	44207
1270	6437	44212
1271	6443	44212
1272	6449	44213
1273	6455	44215
1274	6460	44213
1275	6466	44208
1276	6471	44204
1277	6476	44199
1278	6481	44197
1279	6487	44194
1280	6492	44192
1281	6497	44187
1282	6503	44185
1283	6508	44182
1284	6514	44178
1285	6519	44175
1286	6524	44171
1287	6529	44166
1288	6535	44163
1289	6540	44159
1290	6545	44154
1291	6550	44152
1292	6556	44148
1293	6561	44145
1294	6566	44141
1295	6572	44139
1296	6577	44136
1297	6582	44132
1298	6588	44128
1299	6593	44123
1300	6598	44120
1301	6603	44117
1302	6609	44114
1303	6614	44109
1304	6619	44106
1305	6625	44102
1306	6630	44098
1307	6635	44093
1308	6640	44090
1309	6646	44087
1310	6651	44084
1311	6656	44079
1312	6661	44076
1313	6667	44073
1314	6672	44069
1315	6678	44066
1316	6682	44060
1317	6688	44058
1318	6693	44054
1319	6698	44050
1320	6704	44046
1321	6709	44042
1322	6714	44038
1323	6719	44035
1324	6725	44031
1325	6730	44027
1326	6735	44024
1327	6741	44021
1328	6744	44001
1329	6749	43998
1330	6754	43994
1331	6760	43991
1332	6765	43987
1333	6768	43969
1334	6773	43966
1335	6778	43961
1336	6784	43956
1337	6789	43952
1338	6794	43949
1339	6800	43946
1340	6805	43942
1341	6810	43937
1342	6815	43933
1343	6820	43929
1344	6825	43924
1345	6831	43920
1346	6836	43916
1347	6842	43914
1348	6847	43910
1349	6852	43906
1350	6857	43903
1351	6862	43898
1352	6868	43894
1353	6873	43890
1354	6878	43888
1355	6884	43884
1356	6889	43880
1357	6894	43876
1358	6900	43873
1359	6905	43870
1360	6910	43864
1361	6915	43860
1362	6921	43856
1363	6926	43853
1364	6931	43847
1365	6936	43842
1366	6941	43839
1367	6946	43834
1368	6952	43831
1369	6957	43825
1370	6962	43821
1371	6967	43818
1372	6973	43815
1373	6986	43863
1374	6992	43861
1375	6997	43857
1376	7003	43854
1377	7008	43850
1378	7013	43846
1379	7018	43842
1380	7024	43838
1381	7029	43834
1382	7034	43830
1383	7039	43826
1384	7044	43820
1385	7050	43817
1386	7055	43813
1387	7057	43789
1388	7062	43785
1389	7065	43766
1390	7071	43762
1391	7073	43744
1392	7079	43740
1393	7084	43736
1394	7089	43732
1395	7094	43726
1396	7099	43721
1397	7103	43705
1398	7108	43702
1399	7113	43696
1400	7118	43693
1401	7123	43688
1402	7129	43683
1403	7134	43679
1404	7139	43675
1405	7144	43671
1406	7149	43665
1407	7154	43661
1408	7160	43658
1409	7165	43654
1410	7167	43629
1411	7172	43625
1412	7173	43595
1413	7179	43592
1414	7180	43567
1415	7182	43539
1416	7187	43535
1417	7192	43530
1418	7195	43511
1419	7198	43494
1420	7203	43489
1421	7205	43465
1422	7210	43461
1423	7215	43456
1424	7220	43452
1425	7226	43448
1426	7231	43442
1427	7236	43438
1428	7241	43435
1429	7246	43430
1430	7252	43426
1431	7257	43421
1432	7260	43404
1433	7265	43400
1434	7270	43394
1435	7275	43390
1436	7280	43385
1437	7286	43381
1438	7291	43377
1439	7296	43373
1440	7301	43369
1441	7306	43365
1442	7312	43361
1443	7317	43358
1444	7322	43354
1445	7328	43350
1446	7333	43345
1447	7338	43340
1448	7343	43338
1449	7349	43336
1450	7354	43332
1451	7359	43326
1452	7364	43323
1453	7366	43298
1454	7369	43282
1455	7375	43277
1456	7380	43273
1457	7385	43269
