iter	Passed	Remaining
0	5	163764
1	10	157291
2	14	140667
3	17	131869
4	21	129815
5	25	125499
6	28	120797
7	31	118233
8	35	117267
9	38	116265
10	42	115411
11	45	114106
12	49	113186
13	52	113393
14	56	113534
15	60	112965
16	63	112175
17	67	111679
18	70	111738
19	74	112051
20	77	111327
21	81	111024
22	85	111593
23	89	111643
24	92	111128
25	95	110505
26	99	110322
27	102	110151
28	106	109772
29	109	109249
30	112	108901
31	116	108773
32	120	108988
33	123	109043
34	127	108798
35	131	109150
36	134	109240
37	138	108952
38	141	108588
39	144	108479
40	148	108326
41	151	108407
42	155	108170
43	158	108063
44	162	108122
45	165	108061
46	169	107858
47	172	107607
48	175	107543
49	179	107410
50	182	107392
51	186	107363
52	189	107090
53	192	107025
54	196	106872
55	200	107062
56	203	107072
57	207	107053
58	210	107047
59	214	106967
60	218	107202
61	222	107303
62	225	107274
63	228	107055
64	232	106879
65	235	106846
66	239	106875
67	242	106805
68	245	106698
69	249	106622
70	252	106575
71	256	106555
72	260	106596
73	263	106594
74	267	106565
75	270	106500
76	273	106372
77	277	106298
78	280	106351
79	284	106230
80	287	106219
81	290	106135
82	294	106065
83	297	106019
84	301	106038
85	304	106057
86	308	106091
87	312	106060
88	315	106073
89	319	106042
90	322	106057
91	326	106082
92	330	106312
93	333	106257
94	337	106290
95	341	106338
96	345	106623
97	350	107084
98	354	107182
99	358	107269
100	362	107345
101	366	107386
102	370	107546
103	374	107514
104	377	107505
105	381	107595
106	385	107656
107	389	107710
108	393	107854
109	397	107924
110	400	107810
111	403	107747
112	407	107651
113	410	107624
114	413	107571
115	417	107455
116	421	107570
117	425	107660
118	429	107794
119	433	107857
120	437	107935
121	440	107962
122	444	108071
123	448	108097
124	452	108225
125	456	108282
126	460	108314
127	464	108333
128	468	108429
129	471	108445
130	475	108522
131	479	108553
132	483	108583
133	487	108548
134	490	108418
135	493	108377
136	497	108443
137	500	108408
138	504	108384
139	508	108432
140	512	108495
141	515	108446
142	519	108382
143	522	108368
144	527	108543
145	530	108540
146	534	108519
147	538	108522
148	541	108585
149	545	108591
150	549	108526
151	552	108474
152	555	108409
153	559	108430
154	562	108402
155	566	108415
156	570	108409
157	574	108421
158	577	108426
159	581	108382
160	584	108350
161	588	108366
162	591	108357
163	595	108330
164	598	108292
165	602	108271
166	606	108257
167	609	108258
168	613	108248
169	616	108176
170	619	108081
171	623	108046
172	626	108047
173	630	108005
174	633	107975
175	637	107976
176	641	108020
177	644	107983
178	647	107954
179	651	107947
180	655	107968
181	659	107983
182	662	107974
183	666	108033
184	670	108020
185	674	108048
186	677	108066
187	681	108033
188	684	107964
189	687	107918
190	691	107955
191	695	107912
192	698	107936
193	702	107912
194	706	107988
195	710	107968
196	713	107976
197	717	107947
198	720	107967
199	725	108119
200	729	108186
201	733	108258
202	738	108347
203	742	108375
204	745	108386
205	749	108390
206	753	108405
207	757	108506
208	760	108471
209	764	108478
210	768	108558
211	773	108667
212	777	108664
213	780	108685
214	784	108672
215	788	108736
216	792	108741
217	795	108706
218	799	108653
219	802	108675
220	806	108646
221	809	108572
222	812	108515
223	816	108475
224	819	108501
225	823	108473
226	826	108460
227	830	108393
228	833	108390
229	837	108375
230	840	108350
231	844	108338
232	847	108281
233	850	108226
234	854	108184
235	857	108127
236	861	108126
237	864	108099
238	868	108121
239	872	108140
240	875	108125
241	879	108131
242	883	108150
243	886	108161
244	890	108130
245	893	108081
246	896	108025
247	900	107995
248	903	108002
249	907	107983
250	910	107960
251	914	107955
252	917	107933
253	921	107951
254	925	107927
255	928	107902
256	932	107890
257	935	107887
258	939	107869
259	943	107866
260	946	107855
261	950	107841
262	953	107833
263	957	107819
264	963	108102
265	968	108242
266	973	108362
267	977	108452
268	983	108686
269	987	108752
270	991	108795
271	995	108794
272	999	108843
273	1004	108934
274	1007	108900
275	1011	108890
276	1015	108937
277	1019	108956
278	1022	108956
279	1026	108936
280	1029	108877
281	1033	108874
282	1036	108826
283	1039	108798
284	1043	108788
285	1046	108765
286	1050	108771
287	1054	108742
288	1057	108708
289	1060	108689
290	1064	108675
291	1068	108659
292	1071	108624
293	1074	108602
294	1078	108575
295	1082	108607
296	1086	108612
297	1089	108596
298	1092	108559
299	1096	108532
300	1099	108527
301	1103	108540
302	1107	108514
303	1110	108492
304	1114	108482
305	1117	108456
306	1121	108436
307	1124	108397
308	1128	108399
309	1132	108421
310	1135	108435
311	1139	108432
312	1143	108432
313	1146	108428
314	1150	108421
315	1154	108422
316	1157	108418
317	1161	108392
318	1164	108373
319	1168	108365
320	1171	108340
321	1175	108314
322	1178	108313
323	1182	108319
324	1186	108299
325	1189	108267
326	1192	108220
327	1196	108225
328	1199	108201
329	1203	108209
330	1207	108197
331	1210	108184
332	1214	108198
333	1218	108199
334	1221	108209
335	1225	108200
336	1229	108195
337	1232	108163
338	1236	108159
339	1239	108139
340	1242	108108
341	1246	108126
342	1250	108110
343	1253	108090
344	1257	108086
345	1260	108066
346	1264	108066
347	1268	108055
348	1271	108035
349	1275	108016
350	1278	108007
351	1282	107997
352	1285	107981
353	1288	107944
354	1292	107915
355	1296	107925
356	1299	107920
357	1303	107901
358	1306	107885
359	1310	107887
360	1314	107900
361	1318	107928
362	1321	107920
363	1326	107965
364	1330	108019
365	1334	108033
366	1337	108030
367	1341	108008
368	1346	108096
369	1350	108112
370	1354	108145
371	1357	108150
372	1361	108156
373	1365	108176
374	1369	108195
375	1373	108201
376	1377	108199
377	1380	108220
378	1384	108231
379	1388	108264
380	1393	108294
381	1396	108300
382	1400	108300
383	1404	108288
384	1408	108334
385	1411	108321
386	1415	108337
387	1419	108338
388	1423	108346
389	1427	108368
390	1431	108374
391	1434	108367
392	1438	108355
393	1442	108360
394	1446	108387
395	1449	108375
396	1453	108398
397	1457	108394
398	1461	108407
399	1464	108408
400	1468	108409
401	1472	108401
402	1476	108418
403	1479	108408
404	1483	108415
405	1487	108399
406	1491	108420
407	1495	108442
408	1498	108419
409	1502	108428
410	1506	108430
411	1510	108460
412	1514	108467
413	1517	108452
414	1521	108450
415	1525	108495
416	1529	108488
417	1533	108508
418	1536	108502
419	1540	108530
420	1544	108541
421	1548	108549
422	1552	108525
423	1555	108515
424	1559	108507
425	1562	108485
426	1566	108486
427	1570	108494
428	1574	108523
429	1577	108508
430	1581	108479
431	1584	108463
432	1588	108494
433	1592	108482
434	1596	108474
435	1600	108492
436	1604	108518
437	1607	108517
438	1611	108502
439	1615	108498
440	1618	108503
441	1622	108532
442	1626	108552
443	1630	108562
444	1634	108572
445	1638	108597
446	1643	108631
447	1646	108632
448	1650	108624
449	1653	108606
450	1657	108601
451	1661	108602
452	1664	108580
453	1668	108563
454	1671	108551
455	1675	108546
456	1678	108531
457	1682	108503
458	1685	108492
459	1689	108487
460	1693	108497
461	1696	108483
462	1700	108478
463	1704	108496
464	1708	108500
465	1711	108493
466	1715	108458
467	1718	108436
468	1721	108422
469	1725	108397
470	1728	108395
471	1732	108385
472	1736	108390
473	1740	108403
474	1743	108388
475	1747	108361
476	1750	108350
477	1754	108334
478	1757	108314
479	1760	108286
480	1763	108250
481	1767	108233
482	1770	108219
483	1774	108193
484	1777	108191
485	1781	108175
486	1785	108192
487	1789	108201
488	1792	108200
489	1796	108192
490	1800	108198
491	1803	108171
492	1807	108173
