iter	Passed	Remaining
0	7	87692
1	13	82420
2	201	158025086	950046817428
882
5	37	75865
6	42	74519
7	47	72850
8	53	72698
9	59	72535
10	64	71799
11	70	71443
12	75	70540
13	80	69884
14	85	69499
15	90	68740
16	95	68228
17	100	68038
18	105	67786
19	110	67481
20	115	67033
21	118	65749
22	123	65504
23	127	64797
24	132	64620
25	137	64527
26	142	64461
27	147	64330
28	153	64313
29	158	64410
30	163	64353
31	169	64285
32	174	64319
33	179	64295
34	185	64373
35	190	64376
36	195	64168
37	200	64042
38	204	63806
39	209	63541
40	213	63349
41	218	63372
42	224	63332
43	229	63307
44	234	63384
45	240	63442
46	244	63342
47	250	63316
48	254	63197
49	259	63076
50	264	62983
51	269	62945
52	274	62857
53	279	62808
54	284	62791
55	289	62809
56	295	62886
57	300	62914
58	305	62839
59	310	62778
60	315	62770
61	320	62696
62	325	62731
63	331	62789
64	336	62829
65	341	62775
66	346	62727
67	351	62683
68	356	62617
69	360	62467
70	365	62421
71	370	62381
72	375	62331
73	379	62260
74	385	62297
75	390	62283
76	396	62353
77	401	62381
78	406	62390
79	411	62358
80	416	62304
81	420	62213
82	425	62089
83	430	62086
84	435	62103
85	440	62070
86	445	62071
87	450	62033
88	455	61964
89	460	61983
90	465	61953
91	470	61924
92	475	61916
93	481	61951
94	486	61977
95	491	62026
96	497	62026
97	502	62007
98	507	61979
99	512	62063
100	518	62055
101	523	62053
102	528	62054
103	533	62063
104	538	62060
105	543	62054
106	548	62034
107	554	62038
108	559	62045
109	564	62023
110	569	61990
111	574	61995
112	579	62032
113	585	62020
114	590	62073
115	596	62105
116	601	62100
117	606	62119
118	611	62122
119	616	62074
120	621	62061
121	626	62056
122	631	62026
123	636	62004
124	641	62010
125	646	61982
126	651	61914
127	656	61919
128	661	61922
129	666	61873
130	671	61837
131	676	61844
132	681	61842
133	686	61789
134	691	61795
135	696	61807
136	701	61747
137	706	61715
138	711	61717
139	716	61700
140	721	61717
141	726	61687
142	731	61672
