iter	Passed	Remaining
0	3	34926
1	9	46745
2	11	37828
3	12	31600
4	12	25917
5	13	21948
6	13	19802
7	14	18187
8	14	16458
9	20	20533
10	21	19507
11	22	18893
12	23	18130
13	24	17219
14	24	16447
15	26	16589
16	28	16707
17	29	16135
18	29	15424
19	32	16210
20	33	15723
21	34	15604
22	34	15123
23	36	15274
24	39	15936
25	40	15713
26	42	15802
27	47	17073
28	48	16614
29	53	17835
30	54	17377
31	54	16950
32	55	16757
33	55	16372
34	56	16002
35	56	15759
36	61	16685
37	63	16526
38	63	16196
39	63	15923
40	68	16760
41	69	16467
42	70	16311
43	75	17148
44	76	16910
45	78	16879
46	78	16610
47	79	16481
48	84	17187
49	89	17870
50	91	17833
51	96	18452
52	101	19086
53	106	19689
54	111	20212
55	116	20722
56	121	21273
57	127	21799
58	132	22267
59	137	22744
60	140	22826
61	145	23269
62	145	22992
63	148	23086
64	153	23519
65	156	23605
66	161	23988
67	166	24375
68	171	24720
69	174	24748
70	175	24498
71	180	24833
72	185	25220
73	185	24944
74	191	25295
75	196	25635
76	201	25986
77	206	26271
78	211	26576
79	214	26608
80	219	26904
81	224	27193
82	229	27439
83	234	27726
84	240	28002
85	245	28243
86	250	28493
87	255	28728
88	257	28696
89	262	28952
90	268	29193
91	273	29404
92	278	29626
93	283	29879
94	284	29675
95	289	29894
96	294	30108
97	300	30312
98	305	30520
99	310	30702
100	315	30919
101	320	31105
102	325	31283
103	330	31488
104	336	31690
105	341	31873
106	346	32049
107	351	32225
108	356	32382
109	361	32538
110	364	32487
111	369	32657
112	375	32819
113	380	32972
114	385	33131
115	390	33272
116	395	33444
117	401	33585
118	406	33723
119	410	33836
120	416	33967
121	421	34090
122	426	34214
123	431	34333
124	436	34464
125	439	34404
126	444	34523
127	449	34654
128	454	34773
129	459	34900
130	464	35015
131	470	35136
132	475	35252
133	480	35367
134	485	35485
135	490	35581
136	495	35684
137	500	35797
138	505	35895
139	511	36007
140	516	36110
141	521	36236
142	527	36336
143	532	36451
144	537	36539
145	542	36621
146	547	36716
147	553	36818
148	558	36896
149	563	36987
150	568	37068
151	573	37167
152	574	36986
153	579	37068
154	584	37139
155	585	36956
156	590	37034
157	595	37106
158	596	36933
159	601	37017
160	606	37086
161	611	37150
162	612	36984
163	618	37070
164	623	37140
165	624	37012
166	630	37105
167	635	37174
168	636	37050
169	638	36928
170	643	36996
171	648	37063
172	653	37118
173	658	37191
174	663	37253
175	668	37321
176	673	37372
177	678	37433
178	683	37503
179	688	37555
180	693	37630
181	698	37699
182	703	37750
183	708	37822
184	714	37884
185	718	37934
186	723	37984
187	728	38041
188	734	38109
189	739	38165
190	740	38047
191	746	38110
192	751	38164
193	755	38207
194	760	38253
195	765	38302
196	770	38338
197	775	38391
198	780	38432
199	785	38483
200	790	38527
201	795	38578
202	800	38620
203	805	38674
204	810	38720
205	815	38774
206	820	38821
207	825	38863
208	830	38906
209	835	38940
210	840	38986
211	845	39035
212	850	39070
213	855	39103
214	860	39141
215	864	39174
216	869	39199
217	874	39246
218	879	39290
219	884	39316
220	889	39357
221	894	39391
222	899	39430
223	904	39465
224	906	39398
225	912	39447
226	917	39482
227	921	39513
228	926	39550
229	931	39581
230	936	39619
231	941	39649
232	946	39686
233	951	39713
234	956	39749
235	961	39785
236	966	39820
237	971	39861
238	976	39897
239	981	39926
240	987	40007
241	993	40048
242	998	40097
243	1003	40139
244	1009	40178
245	1014	40214
246	1019	40259
247	1024	40298
248	1029	40331
249	1035	40368
250	1040	40403
251	1045	40435
252	1050	40463
253	1055	40495
254	1060	40526
255	1065	40554
256	1070	40591
257	1076	40631
258	1081	40671
259	1087	40744
260	1094	40822
261	1100	40890
262	1106	40963
263	1112	41018
264	1117	41048
265	1122	41086
266	1127	41111
267	1132	41134
268	1137	41163
269	1142	41186
270	1148	41213
271	1153	41246
272	1158	41278
273	1163	41301
274	1168	41325
275	1173	41349
276	1178	41365
277	1183	41386
278	1188	41411
279	1193	41442
280	1198	41457
281	1203	41473
282	1208	41495
283	1213	41516
284	1218	41535
285	1223	41559
286	1228	41580
287	1233	41603
288	1238	41627
289	1244	41655
290	1249	41677
291	1254	41706
292	1259	41721
293	1264	41733
294	1269	41755
295	1274	41778
296	1279	41794
297	1284	41809
298	1289	41831
299	1294	41868
300	1300	41905
301	1306	41965
302	1313	42027
303	1318	42065
304	1324	42091
305	1329	42113
306	1334	42133
307	1339	42161
308	1344	42174
309	1345	42067
310	1350	42087
311	1351	41979
312	1357	41997
313	1361	42009
314	1366	42022
315	1371	42039
316	1376	42059
317	1381	42072
318	1386	42090
319	1391	42103
320	1396	42118
321	1401	42135
322	1406	42149
323	1411	42161
324	1416	42170
325	1421	42184
326	1426	42192
327	1431	42198
328	1435	42209
329	1440	42217
330	1445	42235
331	1450	42251
332	1456	42268
333	1461	42288
334	1462	42208
335	1468	42223
336	1473	42244
337	1478	42257
338	1479	42174
339	1485	42195
340	1490	42211
341	1491	42124
342	1496	42141
343	1501	42159
344	1503	42081
345	1508	42099
346	1513	42108
347	1518	42123
348	1524	42148
349	1529	42168
350	1534	42193
351	1540	42211
352	1545	42222
353	1550	42240
354	1555	42250
355	1560	42261
356	1564	42269
357	1566	42193
358	1571	42209
359	1576	42218
360	1581	42222
361	1586	42240
362	1591	42249
363	1596	42271
364	1602	42293
365	1607	42305
366	1612	42315
367	1617	42334
368	1622	42357
369	1624	42284
370	1629	42301
371	1634	42313
372	1639	42322
373	1645	42345
374	1650	42363
375	1655	42376
376	1660	42386
377	1665	42405
378	1671	42421
379	1676	42432
380	1681	42441
381	1686	42453
382	1690	42459
383	1695	42464
384	1700	42476
385	1706	42491
386	1710	42497
387	1715	42509
388	1720	42512
389	1725	42519
390	1730	42524
391	1735	42530
392	1740	42540
393	1745	42548
394	1750	42555
395	1754	42561
396	1760	42572
397	1765	42588
398	1770	42597
399	1775	42602
400	1780	42612
401	1785	42618
402	1790	42630
403	1795	42640
404	1800	42655
405	1805	42661
406	1810	42667
407	1815	42679
408	1817	42610
409	1822	42620
410	1827	42628
411	1832	42642
412	1837	42649
413	1842	42650
414	1843	42579
415	1848	42587
416	1853	42598
417	1858	42609
418	1863	42621
419	1868	42628
420	1873	42634
421	1878	42640
422	1880	42576
423	1885	42582
424	1890	42590
425	1895	42597
426	1900	42599
427	1904	42604
428	1909	42610
429	1914	42618
430	1919	42626
431	1924	42631
432	1927	42592
433	1932	42603
434	1937	42612
435	1942	42618
436	1947	42625
437	1952	42629
438	1957	42633
439	1962	42649
440	1967	42651
441	1972	42659
442	1975	42622
443	1980	42631
444	1985	42635
445	1993	42694
446	1998	42700
447	2002	42703
448	2008	42715
449	2013	42730
450	2018	42744
451	2023	42752
452	2029	42762
453	2033	42763
454	2038	42768
455	2043	42774
456	2044	42697
457	2049	42703
458	2054	42707
459	2059	42712
460	2064	42718
461	2065	42644
462	2070	42651
463	2075	42655
464	2080	42661
465	2085	42664
466	2090	42669
467	2095	42677
468	2100	42680
469	2105	42682
470	2109	42686
471	2114	42692
472	2117	42652
473	2122	42655
474	2127	42669
475	2132	42673
476	2137	42675
477	2142	42681
478	2147	42689
479	2152	42692
480	2157	42693
481	2162	42702
482	2167	42706
483	2172	42711
484	2177	42720
485	2182	42725
486	2187	42729
487	2192	42738
488	2197	42739
489	2202	42742
490	2207	42752
491	2208	42684
492	2213	42689
493	2218	42695
494	2223	42697
495	2228	42703
496	2233	42703
497	2238	42705
498	2243	42710
499	2248	42714
500	2252	42715
501	2257	42719
502	2262	42724
503	2267	42726
504	2268	42658
505	2270	42598
506	2275	42604
507	2280	42607
508	2285	42613
509	2290	42622
510	2295	42625
511	2300	42625
512	2305	42629
513	2310	42634
514	2315	42640
515	2320	42643
516	2325	42649
517	2330	42653
518	2335	42659
519	2340	42666
520	2345	42667
521	2350	42671
522	2355	42674
523	2360	42679
524	2365	42684
525	2369	42685
